﻿﻿"lang"
{
	"Language"		"English"
		"Dota_Tooltip_Ability_dnd2_drow_ranger_marksmenship_scepter_description" 		"The Glass splits into 4 shards dealing less damage to enemies around the original target"
		"DOTA_Tooltip_Ability_dnd2_drow_ranger_marksmenship_chance"						"CHANCE: "
		"DOTA_Tooltip_Ability_dnd2_drow_ranger_marksmenship_bonus_damage"				"BONUS DAMAGE: "
		"DOTA_Tooltip_Ability_dnd2_drow_ranger_marksmenship_agility_multiplier"			"AGI MULTIPLIER: "
		"DOTA_Tooltip_Ability_dnd2_drow_ranger_marksmenship_agility_range"				"AGI RADIUS: "
		"DOTA_Tooltip_Ability_dnd2_drow_ranger_marksmenship_split_count_scepter"		"SCEPTER SPLIT COUNT: "
		"DOTA_Tooltip_Ability_dnd2_drow_ranger_marksmenship_scepter_range"				"SCEPTER SPLIT RANGE: "
		"DOTA_Tooltip_Ability_dnd2_drow_ranger_marksmenship_damage_reduction_scepter"	"SCEPTER DMG REDUCTION: "
	
//=================================================================================================================
// HERO: Arc Warden (Thanos)
//==============================================================================================================
		
		"DOTA_Tooltip_ability_thanos_starfall"											"Space Stone"
		"DOTA_Tooltip_ability_thanos_starfall_Description"								"Mirana Starfall: LET SPACE LEAD YOU TO VICTORY!"
		"DOTA_Tooltip_ability_thanos_starfall_starfall_radius"							"RADIUS: "
		"DOTA_Tooltip_ability_thanos_starfall_starfall_interval_scepter"				"SCEPTER INTERVAL: "	
		"DOTA_Tooltip_ability_thanos_starfall_AbilityDamage"							"DAMAGE: "
		
		"DOTA_Tooltip_ability_thanos_glaives_of_wisdom"									"Mind Stone"
		"DOTA_Tooltip_ability_thanos_glaives_of_wisdom_Description"						"Silencer Glavies of Wisdom: LET THE INTELLEGENCE GAIN GUIDE YOU TO IMMORALTILTY"
		"DOTA_Tooltip_ability_thanos_glaives_of_wisdom_intellect_damage_pct"			"INT TO DAMAGE: "
		"DOTA_Tooltip_ability_thanos_glaives_of_wisdom_scepter_description"				"Allows your attacks to bounce once to a new target MAKING THEM STUPIDER WITH EVERY HIT"
	
		"DOTA_Tooltip_ability_thanos_necromastery"										"Soul Stone"
		"DOTA_Tooltip_ability_thanos_necromastery_Description"							"Shadow Fiend Necomastery: SUCK THE LIFE OUT OF YOUR OPPONENTS"
		"DOTA_Tooltip_ability_thanos_necromastery_necromastery_damage_per_soul"     	"DAMAGE PER SOUL: "
		"DOTA_Tooltip_ability_thanos_necromastery_necromastery_max_souls"				"MAX SOULS: "
		"DOTA_Tooltip_ability_thanos_necromastery_necromastery_max_souls_scepter"		"SCEPTER MAX SOULS: "
		"DOTA_Tooltip_ability_thanos_necromastery_scepter_description"					"MORE ROOM FOR SOULS"
		
		"DOTA_Tooltip_ability_thanos_time_lapse"										"Time Stone"
		"DOTA_Tooltip_ability_thanos_time_lapse_Description"							"Weaver Time Lapse: STUPID HUMAN GET IN YOUR WAY? NO PROBLEM JUST GO BACK!"
		"DOTA_Tooltip_ability_thanos_time_lapse_cooldown_scepter"						"SCEPTER COOLDOWN: "
		"DOTA_Tooltip_ability_thanos_time_lapse_cast_range_tooltip_scepter"				"SCEPTER ALLY CAST RANGE: "
		"DOTA_Tooltip_ability_thanos_time_lapse_scepter_description"					"Allows you to use the time stone and restore an ally to their health and position 4 seconds prior"
		
		"DOTA_Tooltip_ability_arc_warden_tempest_double"								"Reality Stone"
		
		"DOTA_Tooltip_ability_sven_gods_strength"										"Power Stone"	
		
		"DOTA_Tooltip_ability_thanos_snap"												"The Snap"
		"DOTA_Tooltip_ability_thanos_snap_Description"									"Lion Finger of Death: This is what everything has led up to. FINISH THEM"
		"DOTA_Tooltip_ability_thanos_snap_damage"										"DAMAGE: "
		"DOTA_Tooltip_ability_thanos_snap_damage_scepter"								"SCEPTER DAMAGE: "
		"DOTA_Tooltip_ability_thanos_snap_mana_cost_scepter"							"SCEPTER MANA COST: "
		"DOTA_Tooltip_ability_thanos_snap_cooldown_scepter"								"SCEPTER COOLDOWN: "
		"DOTA_Tooltip_ability_thanos_snap_splash_radius_scepter"						"SCEPTER RADIUS: "
		"DOTA_Tooltip_ability_thanos_snap_scepter_description"							"This might make it a little closer to 50%. Maybe 100% depending on how you use it shmiler"
	
//=================================================================================================================
// HERO: Bounty Hunter (Tax Evader)
//==============================================================================================================
		
		"DOTA_Tooltip_ability_bounty_pennycash" 										"Chump Change"
		"DOTA_Tooltip_ability_bounty_pennycash_description"								"These dollars are the cheap ones that we just need for those regen items that don't exsit"
		"DOTA_Tooltip_ability_bounty_pennycash_bonus_gold"								"BONUS GOLD: "
		
		"DOTA_Tooltip_ability_bounty_dollarbills"										"Throwing those Dollar Bills"
		"DOTA_Tooltip_ability_bounty_dollarbills_description"							"We all know what those dollar bills are used for ;) Go get yourself a friendly teammate"
		"DOTA_Tooltip_ability_bounty_dollarbills_bonus_gold"							"BONUS GOLD: "
		
		"DOTA_Tooltip_ability_bounty_signthecheck"										"Signing My Life Away"
		"DOTA_Tooltip_ability_bounty_signthecheck_description"							"Sign some checks and pass those e-transfers over, we really farming money now."
		"DOTA_Tooltip_ability_bounty_signthecheck_bonus_gold"							"BONUS GOLD: "
		
		"DOTA_Tooltip_ability_ogre_magi_multicast_lua"										"Gaben Multirole"
		"DOTA_Tooltip_ability_ogre_magi_multicast_lua_description"							"Gaben rolls his die to see if he is indeed lucky to recive more dollars for himself or his teammate"
		"DOTA_Tooltip_modifier_ogre_magi_multicast_lua"										"Gaben's Lucky Chance"
		"DOTA_Tooltip_modifier_ogre_magi_multicast_lua_description"							"The tax evader uses Gabe's luck to help open the wallets of more Dota Players"
		"DOTA_Tooltip_ability_ogre_magi_multicast_lua_multicast_2_times_tooltip"			"2X CAST CHANCE"
		"DOTA_Tooltip_ability_ogre_magi_multicast_lua_multicast_3_times_tooltip"			"3X CAST CHANCE"
		"DOTA_Tooltip_ability_ogre_magi_multicast_lua_multicast_4_times_tooltip"			"4X CAST CHANCE"
	
//=================================================================================================================
// HERO: Pangolier (Bowling Ball)
//==============================================================================================================

		"DOTA_Tooltip_ability_pango_charge_of_darkness"										"Flick the Ball"
		"DOTA_Tooltip_ability_pango_charge_of_darkness_description"							"You give the ball so much power it thrusts towards enemy heroes at a blazing pace."
		"DOTA_Tooltip_ability_pango_charge_of_darkness_movement_speed"						"CHARGE BONUS SPEED: "
		"DOTA_Tooltip_ability_pango_charge_of_darkness_stun_duration"						"STUN DURATION: "
		
		"DOTA_Tooltip_ability_mars_bulwark"													"Set the Pins"
		"DOTA_Tooltip_ability_mars_bulwark_description"										"Bowling Ball sets hit pins infront of himeself to proect himself. GET SCEPTER REALLY QUICK BTW!"
	
		"DOTA_Tooltip_ability_pango_greater_bash"											"Bumper Guards"
		"DOTA_Tooltip_ability_pango_greater_bash_description"								"Nobody likes a gutter ball, get rid of those pesky players"
		"DOTA_Tooltip_ability_pango_greater_bash_chance_pct"								"CHANCE TO BASH: "
		"DOTA_Tooltip_ability_pango_greater_bash_damage"									"MOVEMENT SPEED AS DAMAGE: "
		"DOTA_Tooltip_ability_pango_greater_bash_duration"									"STUN DURATION: "
		"DOTA_Tooltip_ability_pango_greater_bash_knockback_duration"						"KNOCKBACK DURATIONS: "
	
		"DOTA_Tooltip_ability_pango_omni_slash"												"Pin Bot"
		"DOTA_Tooltip_ability_pango_omni_slash_description"									"Some times there are too many pins to hit at once, why not just hit all of them and knock em all down!"
		"DOTA_Tooltip_ability_pango_omni_slash_attack_rate_multiplier"						"SLASHES RATE MULTIPLIER: "
		"DOTA_Tooltip_ability_pango_omni_slash_bonus_damage"								"BONUS DAMAGE: "
		"DOTA_Tooltip_ability_pango_omni_slash_bonus_attack_speed"							"BONUS ATTACK SPEED: "
		"DOTA_Tooltip_ability_pango_omni_slash_duration"									"DURATION: "
		"DOTA_Tooltip_ability_pango_omni_slash_omni_slash_radius"							"SLASH JUMP RADIUS: "
	
	
//=================================================================================================================
// HERO: Dawnbreaker (Devastating 4th Blow)
//==============================================================================================================
	
		"DOTA_Tooltip_ability_4thblow_bash"													"Bash them Skulls"
		"DOTA_Tooltip_ability_4thblow_bash_description"										"After 3 mediocre attacks, the hammer is loaded READY TO STRIKE THE ENEMIES IN THE BACK OF THE HEAD"
		"DOTA_Tooltip_ability_4thblow_bash_bonus_damage"									"BONUS DAMAGE: "
		"DOTA_Tooltip_ability_4thblow_bash_duration"										"BASH DURATION: "
	
		"DOTA_Tooltip_ability_4thblow_jingu_mastery"														"CLUB'EM IN THE BACK OF THE HEAD"
		"DOTA_Tooltip_ability_4thblow_jingu_mastery_description"											"Dawnbreakers hammer becomes a golf club that takes the heads of enemies for 4 more attacks"
		"DOTA_Tooltip_ability_4thblow_jingu_mastery_required_hits"										"REQUIRED HITS: "
		"DOTA_Tooltip_ability_4thblow_jingu_mastery_counter_duration"										"COUNTER DURATION: "
		"DOTA_Tooltip_ability_4thblow_jingu_mastery_charges"												"CHARGES: "
		"DOTA_Tooltip_ability_4thblow_jingu_mastery_bonus_damage"											"BONUS DAMAGE: "
		"DOTA_Tooltip_ability_4thblow_jingu_mastery_lifesteal"											"BONUS LIFESTEAL: "

//=================================================================================================================
// HERO: Terrorblade (Illusion Bitch)
//==============================================================================================================

		"DOTA_Tooltip_ability_illous_mirror_image"											"Mirror Image"
		"DOTA_Tooltip_ability_illous_mirror_image_description"								"Stupid fucking illousions take over the fucking game"
		"DOTA_Tooltip_ability_illous_mirror_image_illusion_duration"						"ILLUSION DURATION: "
		"DOTA_Tooltip_ability_illous_mirror_image_outgoing_damage"							"ILLUSION DAMAGE: "
		"DOTA_Tooltip_ability_illous_mirror_image_incoming_damage"							"ILLUSION DAMAGE TAKEN: "
		"DOTA_Tooltip_ability_illous_mirror_image_images_count"								"IMAGE COUNT: "
	
		
		"DOTA_Tooltip_ability_illous_juxtapose"												"Juxtapose"
		"DOTA_Tooltip_ability_illous_juxtapose_description"									"Stupid fucking illusions take over the fucking game"
		"DOTA_Tooltip_ability_illous_juxtapose_max_illusions"								"MAX ILLUSIONS: "
		"DOTA_Tooltip_ability_illous_juxtapose_proc_chance_pct"								"HERO TRIGGER CHANCE: "
		"DOTA_Tooltip_ability_illous_juxtapose_illusion_proc_chance_pct"					"ILLOUSION TRIGGER CHANCE: "
		"DOTA_Tooltip_ability_illous_juxtapose_illusion_damage_out_pct"						"ILLOUSION DAMAGE: "
		"DOTA_Tooltip_ability_illous_juxtapose_illusion_damage_in_pct"						"ILLOUSION DAMAGE TAKE: "
		"DOTA_Tooltip_ability_illous_juxtapose_scepter_description"							"Press button, max illusions"
	
		"DOTA_Tooltip_ability_illous_metamorphosis"											"Metamorphosis"
		"DOTA_Tooltip_ability_illous_metamorphosis_description"								"TURN ALL THE UNITS INTO UNSTOPABLE BEASTS OF DEATH"
		"DOTA_Tooltip_ability_illous_metamorphosis_transformation_time"						"TRANSFORMATION TIME: "
		"DOTA_Tooltip_ability_illous_metamorphosis_bonus_range"								"BONUS RANGE: "
		"DOTA_Tooltip_ability_illous_metamorphosis_bonus_damage"							"BONUS DAMAGE: "
		"DOTA_Tooltip_ability_illous_metamorphosis_duration"								"DURATION: "

//=================================================================================================================
// HERO: Lifestealer (Passive Agressive)
//==============================================================================================================
	
		"DOTA_Tooltip_ability_passive_flesh_heap"											"FLESH HEAP"
		"DOTA_Tooltip_ability_passive_flesh_heap_description"								"Collect the meat of you enemies to eat them alive and consume the strength to gain MORE POWER!"
		"DOTA_Tooltip_ability_passive_flesh_heap_flesh_heap_range"							"KILL RADIUS: "
		"DOTA_Tooltip_ability_passive_flesh_heap_flesh_heap_strength_buff_amount"			"STRENGTH BONUS PER STACK: "
		"DOTA_Tooltip_ability_passive_flesh_heap_magic_resistance"							"MAGIC RESISTANCE BONUS: "
	
		"DOTA_Tooltip_ability_item_left_arm_of_roshan"										"Left Arm Rosh"

//=================================================================================================================
// HERO: Venomancer (Torb)
//==============================================================================================================
		
		"DOTA_Tooltip_ability_torbjorn_forge_spirit"										"Turret"
		"DOTA_Tooltip_ability_torbjorn_forge_spirit_description"							"Torb summons his sentry turret to attack all the enimes nearby"
		"DOTA_Tooltip_ability_torbjorn_forge_spirit_spirit_damage"							"TURRET DAMAGE: "
		"DOTA_Tooltip_ability_torbjorn_forge_spirit_spirit_armor"							"TURRET ARMOUR: "
		"DOTA_Tooltip_ability_torbjorn_forge_spirit_spirit_attack_range"					"TURRET ATTACK RANGE: "
		"DOTA_Tooltip_ability_torbjorn_forge_spirit_spirit_hp"								"TURRET HP: "
		"DOTA_Tooltip_ability_torbjorn_forge_spirit_duration"								"TURRET DURATION: "
		
		"DOTA_Tooltip_ability_snapfire_mortimer_kisses"										"Molten Core"
//=================================================================================================================
// HERO: Storm Spirit (Tesla Coil)
//==============================================================================================================
	
		"DOTA_Tooltip_ability_tesla_spirit_static_remnant"									"STATIC COIL"
		"DOTA_Tooltip_ability_tesla_spirit_static_remnant_description"						"The Coil creates an image of itself leaving behind a charge of electricity waiting to blow up anyone in its path"
		"DOTA_Tooltip_ability_tesla_spirit_static_remnant_static_remnant_radius"			"REMNANT RADIUS: "
		"DOTA_Tooltip_ability_tesla_spirit_static_remnant_static_remnant_damage"			"REMNANT DAMAGE: "
		
		"DOTA_Tooltip_ability_tesla_king_jingu_mastery"										"CHARGING THE COIL"
		"DOTA_Tooltip_ability_tesla_king_jingu_mastery_description"							"By attacking the same target, the coil gains the ability to charge itself gaining more powerfull attacks on the attacks following"
		"DOTA_Tooltip_ability_tesla_king_jingu_mastery_required_hits"						"REQUIRED HITS: "
		"DOTA_Tooltip_ability_tesla_king_jingu_mastery_charges"								"CHARGES: "
		"DOTA_Tooltip_ability_tesla_king_jingu_mastery_bonus_damage"						"BONUS DAMAGE: "
		"DOTA_Tooltip_ability_tesla_king_jingu_mastery_max_duration"						"MAX DURATION: "
		
		"DOTA_Tooltip_ability_tesla_eye_of_the_storm"										"RELASE THE CHARGE"
		"DOTA_Tooltip_ability_tesla_eye_of_the_storm_scepter_description"					"Causes Release the Charge to strike two different units instead of one and can damage structures. When striking buildings, it will only target towers, barracks, and the Ancient."
		"DOTA_Tooltip_ability_tesla_eye_of_the_storm_description"							"The coil begins shocking anyhero that decides to come near it removing armour and dealing quick damage"
		"DOTA_Tooltip_ability_tesla_eye_of_the_storm_radius"								"RADIUS: "
		"DOTA_Tooltip_ability_tesla_eye_of_the_storm_duration"								"DURATION: "
		"DOTA_Tooltip_ability_tesla_eye_of_the_storm_strike_interval"						"STRIKE INTERVAL: "
		"DOTA_Tooltip_ability_tesla_eye_of_the_storm_armour_reduction"						"ARMOUR REDUCED: "
		"DOTA_Tooltip_ability_tesla_eye_of_the_storm_damage"								"DAMAGE: "

//=================================================================================================================
// HERO: Chen (The Fountain)
//==============================================================================================================
		
		"DOTA_Tooltip_ability_fountain_focusfire"											"FOCUS FIRE"
		"DOTA_Tooltip_ability_fountain_focusfire_description"								"ATTACK A TARGET VERY FAST, GET THEM AWAY FROM THE FOUNTAIN!"
		"DOTA_Tooltip_ability_fountain_focusfire_bonus_attack_speed"						"BONUS ATTACK SPEED: "
		"DOTA_Tooltip_ability_fountain_focusfire_focusfire_damage_reduction"				"DAMAGE REDUCTION: "
		"DOTA_Tooltip_ability_fountain_focusfire_AbilityDuration"							"DURATION: "
		
		"DOTA_Tooltip_ability_fountain_moon_glaive"											"MOON GLAIVES"
		"DOTA_Tooltip_ability_fountain_moon_glaive_description"								"The fountains bullets begin to bounce to other targets as attacking one tartget isnt fun enough"
		"DOTA_Tooltip_ability_fountain_moon_glaive_range"									"BOUNCE RADIUS: "
		"DOTA_Tooltip_ability_fountain_moon_glaive_bounces"									"BOUNCES: "
		"DOTA_Tooltip_ability_fountain_moon_glaive_damage_reduction_percent"				"DAMAGE REDUCTION PER BOUNCE: "
		
		
		"DOTA_Tooltip_ability_fountain_fury_swipes"											"FURY SWIPES"
		"DOTA_Tooltip_ability_fountain_fury_swipes_description"								"The Fountain doesnt like when heroes dive it. It will deal more damage the more consecutive attacks in a row it hits"
		"DOTA_Tooltip_ability_fountain_fury_swipes_bonus_reset_time"						"RESET TIME: "
		"DOTA_Tooltip_ability_fountain_fury_swipes_damage_per_stack"						"DAMAGE PER ATTACK: "
		
		"DOTA_Tooltip_ability_fountain_guardian_angel"										"FORTIFY"
		"DOTA_Tooltip_ability_fountain_guardian_angel_description"							"All Towers need fortification at some point, protect yourself and your team!"
		"DOTA_Tooltip_ability_fountain_guardian_angel_scepter_description"					"Increases duration, provides Status Resist, radius becomes global and affects buildings."
		"DOTA_Tooltip_ability_fountain_guardian_angel_duration"								"DURATION: "
		"DOTA_Tooltip_ability_fountain_guardian_angel_radius"								"RAIDUS: "
		"DOTA_Tooltip_ability_fountain_guardian_angel_scepter_status_resist"				"STATUS RESIST: "
		"DOTA_Tooltip_ability_fountain_guardian_angel_duration_scepter"						"SCEPTER DURATION: "
		
	}	
}
